"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time"
"03/31/2016 23:10:08.714","10000000000","5189.4945784144466","3756.1961332748883","1433.2984451395578","0","5936103424","7577448448","26082009088","29.052395551408221","132.19742940607571","0","0","0","768491520","123138048","0.77527038548630234","3.8658559591357","2.3258210958228234"
"03/31/2016 23:10:09.720","10000000000","6936.874442572589","4141.8478008597194","2795.0266417128701","0","5936181248","7578357760","26082009088","29.055881908601535","704.72044415875712","0","0","0","768491520","123150336","3.1011014206730421","6.9669573798087363","4.6516521310095627"
"03/31/2016 23:10:10.726","10000000000","10066.092089981938","3665.8188632224142","6400.2732267595238","0","5935853568","7578001408","26082009088","29.054515633485234","1304.109096677822","0","0","0","768491520","123092992","6.2022028413460841","15.49498131697764","8.5280338765328239"
"03/31/2016 23:10:11.732","10000000000","2858.5460039544541","1921.2689240764812","937.27707987797294","0","5935878144","7578054656","26082009088","29.054719789537099","160.02291607672709","0","0","0","768491520","123121664","0.7752803248502188","3.8658559591357","3.876371806159344"
"03/31/2016 23:10:12.738","10000000000","1917.4496666977464","1487.0423542663705","430.40731243137594","0","5935894528","7578214400","26082009088","29.05533225769268","120.27548453625054","0","0","0","768483328","123109376","1.550550710336521","3.8658559591357","1.550550710336521"
"03/31/2016 23:10:13.744","10000000000","3958.0675445916263","3004.8312876194091","953.23625697221746","0","5935902720","7578763264","26082009088","29.057436635458011","467.17522500202523","0","0","0","768458752","123113472","0","1.540034863312878","2.3258310351867397"
"03/31/2016 23:10:14.750","10000000000","2495.8933558742356","1740.4656575610459","755.42769831318958","0","5935853568","7577612288","26082009088","29.053023723875487","545.69711364992247","0","0","0","768458752","123101184","0.77530714339176399","3.0859808664136845","1.5506242266186996"
"03/31/2016 23:10:15.756","10000000000","4824.5869059280103","3900.2222947798746","924.3646111481354","0","5935845376","7576571904","26082009088","29.049034828708358","243.51540831321847","0","0","0","768458752","123088896","0.77532062824419068","2.3102270537110448","2.3259420049713322"
"03/31/2016 23:10:16.762","10000000000","11749.13976317432","4730.470062009018","7018.6697011653023","0","5935812608","7577239552","26082009088","29.051594631512462","2884.6026728199558","0","0","0","768458752","123088896","1.550550710336521","8.5175080901452649","6.2022028413460841"
"03/31/2016 23:10:17.769","10000000000","5465.4717037714336","4041.5097809501694","1423.9619228212637","0","5936447488","7577792512","26082009088","29.053714713589475","507.42297249767483","0","0","0","768458752","123092992","3.0980218760646281","8.6083546560934749","6.1960437521292562"
